subject,predicate,object
ABS System,HAS_COMPONENT,ABS Control Module
ABS Control Module,SHOWS_SYMPTOM,ABS warning light on
ABS Control Module,SHOWS_SYMPTOM,Brake pedal pulsation
ABS Control Module,DIAGNOSED_BY,Check ABS fuse
Check ABS fuse,HAS_RESULT,Blown
Check ABS fuse,HAS_RESULT,Intact
ABS Control Module,DIAGNOSED_BY,Inspect wiring to ABS module
Inspect wiring to ABS module,HAS_RESULT,Faulty wiring
Inspect wiring to ABS module,HAS_RESULT,Good wiring
ABS Control Module,REQUIRES_FIX,Replace ABS Control Module
ABS System,HAS_COMPONENT,ABS Wheel Speed Sensor
ABS Wheel Speed Sensor,SHOWS_SYMPTOM,ABS light stays on
ABS Wheel Speed Sensor,SHOWS_SYMPTOM,Erratic speedometer
ABS Wheel Speed Sensor,DIAGNOSED_BY,Inspect wheel speed sensor connections
Inspect wheel speed sensor connections,HAS_RESULT,Loose connections
Inspect wheel speed sensor connections,HAS_RESULT,Secure connections
ABS Wheel Speed Sensor,DIAGNOSED_BY,Check wheel speed sensor for debris or damage
Check wheel speed sensor for debris or damage,HAS_RESULT,Dirty/damaged
Check wheel speed sensor for debris or damage,HAS_RESULT,Clean/intact
ABS Wheel Speed Sensor,REQUIRES_FIX,Replace ABS Wheel Speed Sensor
ABS System,HAS_COMPONENT,Brake Booster
Brake Booster,SHOWS_SYMPTOM,Spongy brake pedal
Brake Booster,SHOWS_SYMPTOM,Hard brake pedal
Brake Booster,DIAGNOSED_BY,Check brake booster vacuum hose
Check brake booster vacuum hose,HAS_RESULT,Leaking
Check brake booster vacuum hose,HAS_RESULT,Intact
Brake Booster,DIAGNOSED_BY,Test brake booster vacuum pressure
Test brake booster vacuum pressure,HAS_RESULT,Low vacuum pressure
Test brake booster vacuum pressure,HAS_RESULT,Normal vacuum pressure
Brake Booster,REQUIRES_FIX,Replace Brake Booster
ABS System,HAS_COMPONENT,Brake Caliper
Brake Caliper,SHOWS_SYMPTOM,Brake pulling to one side
Brake Caliper,SHOWS_SYMPTOM,Brake dragging
Brake Caliper,DIAGNOSED_BY,Inspect brake caliper for leaks
Inspect brake caliper for leaks,HAS_RESULT,Leaking fluid
Inspect brake caliper for leaks,HAS_RESULT,No leaks
Brake Caliper,DIAGNOSED_BY,Check brake caliper piston operation
Check brake caliper piston operation,HAS_RESULT,Stuck piston
Check brake caliper piston operation,HAS_RESULT,Free-moving piston
Brake Caliper,REQUIRES_FIX,Replace Brake Caliper
ABS System,HAS_COMPONENT,Brake Hose
Brake Hose,SHOWS_SYMPTOM,Brake fluid leak
Brake Hose,SHOWS_SYMPTOM,Soft brake pedal
Brake Hose,DIAGNOSED_BY,Inspect brake hose for cracks or leaks
Inspect brake hose for cracks or leaks,HAS_RESULT,Cracked/leaking hose
Inspect brake hose for cracks or leaks,HAS_RESULT,Intact hose
Brake Hose,DIAGNOSED_BY,Pressure test brake hose
Pressure test brake hose,HAS_RESULT,Failed pressure test
Pressure test brake hose,HAS_RESULT,Passes pressure test
Brake Hose,REQUIRES_FIX,Replace Brake Hose
ABS System,HAS_COMPONENT,Brake Master Cylinder
Brake Master Cylinder,SHOWS_SYMPTOM,Spongy brake pedal
Brake Master Cylinder,SHOWS_SYMPTOM,Brake fluid leaks
Brake Master Cylinder,DIAGNOSED_BY,Check brake fluid level in master cylinder
